customer_id,reporting_week,mcc,spend_amount,transaction_count,avg_ticket_amount
CUST00386,2025-11-11,5732,891.68,22,40.53
CUST00101,2025-11-11,5814,675.72,4,168.93
CUST00156,2025-11-11,5812,1719.97,8,215.0
CUST00156,2025-11-11,5912,228.99,28,8.18
CUST00014,2025-11-11,5812,750.53,21,35.74
CUST00491,2025-11-11,5814,331.09,13,25.47
CUST00467,2025-11-11,5814,1929.32,4,482.33
CUST00467,2025-11-11,5541,377.47,25,15.1
CUST00053,2025-11-11,5812,1803.46,8,225.43
CUST00053,2025-11-11,5541,674.98,13,51.92
CUST00053,2025-11-11,5912,1634.65,3,544.88
CUST00053,2025-11-11,5999,155.29,25,6.21
CUST00317,2025-11-11,5411,518.75,22,23.58
CUST00317,2025-11-11,5732,1489.88,18,82.77
CUST00317,2025-11-11,5814,885.95,4,221.49
CUST00216,2025-11-11,5541,1013.18,4,253.29
CUST00405,2025-11-11,5732,1163.33,5,232.67
CUST00405,2025-11-11,5912,458.2,3,152.73
CUST00405,2025-11-11,5999,1209.72,8,151.21
CUST00405,2025-11-11,5311,1945.18,26,74.81
CUST00435,2025-11-11,5814,493.37,22,22.43
CUST00390,2025-11-11,5814,1787.68,10,178.77
CUST00390,2025-11-11,5541,388.62,15,25.91
CUST00390,2025-11-11,5732,1162.25,16,72.64
CUST00390,2025-11-11,5411,303.13,6,50.52
CUST00128,2025-11-11,5411,1436.81,13,110.52
CUST00128,2025-11-11,5732,442.02,17,26.0
CUST00009,2025-11-11,5814,1655.88,3,551.96
CUST00118,2025-11-11,5912,334.86,12,27.91
CUST00441,2025-11-11,5411,615.35,3,205.12
CUST00441,2025-11-11,5814,1628.95,1,1628.95
CUST00153,2025-11-11,5812,1872.41,11,170.22
CUST00153,2025-11-11,5999,1397.62,28,49.91
CUST00153,2025-11-11,5411,1218.02,19,64.11
CUST00346,2025-11-11,5812,1971.74,1,1971.74
CUST00346,2025-11-11,5541,362.06,7,51.72
CUST00346,2025-11-11,5311,502.35,27,18.61
CUST00205,2025-11-11,5732,1205.0,3,401.67
CUST00225,2025-11-11,5541,888.85,21,42.33
CUST00225,2025-11-11,5732,1107.33,6,184.56
CUST00225,2025-11-11,5912,841.97,19,44.31
CUST00225,2025-11-11,5411,1478.2,22,67.19
CUST00169,2025-11-11,5999,1946.76,19,102.46
CUST00169,2025-11-11,5541,1058.15,3,352.72
CUST00169,2025-11-11,5732,1285.01,15,85.67
CUST00394,2025-11-11,5812,1898.42,14,135.6
CUST00394,2025-11-11,5814,746.04,23,32.44
CUST00145,2025-11-11,5814,1906.8,29,65.75
CUST00304,2025-11-11,5814,1149.44,7,164.21
CUST00304,2025-11-11,5999,752.31,4,188.08
CUST00304,2025-11-11,5812,106.17,24,4.42
CUST00123,2025-11-11,5732,999.75,27,37.03
CUST00123,2025-11-11,5411,728.84,6,121.47
CUST00235,2025-11-11,5541,274.32,3,91.44
CUST00235,2025-11-11,5812,1185.34,17,69.73
CUST00235,2025-11-11,5411,1555.6,26,59.83
CUST00191,2025-11-11,5732,655.43,26,25.21
CUST00191,2025-11-11,5411,586.21,22,26.65
CUST00191,2025-11-11,5812,1816.0,10,181.6
CUST00191,2025-11-11,5311,414.55,11,37.69
CUST00387,2025-11-11,5541,1739.93,5,347.99
CUST00479,2025-11-11,5812,1752.91,4,438.23
CUST00090,2025-11-11,5411,293.18,22,13.33
CUST00090,2025-11-11,5814,873.7,22,39.71
CUST00447,2025-11-11,5311,1024.04,16,64.0
CUST00447,2025-11-11,5732,1245.29,26,47.9
CUST00447,2025-11-11,5814,1832.4,9,203.6
CUST00288,2025-11-11,5541,373.3,28,13.33
CUST00288,2025-11-11,5411,148.39,24,6.18
CUST00288,2025-11-11,5311,1480.08,21,70.48
CUST00288,2025-11-11,5912,1436.9,14,102.64
CUST00122,2025-11-11,5732,441.89,5,88.38
CUST00316,2025-11-11,5812,1584.7,11,144.06
CUST00358,2025-11-11,5814,1860.02,20,93.0
CUST00358,2025-11-11,5999,326.89,15,21.79
CUST00358,2025-11-11,5812,569.44,21,27.12
CUST00358,2025-11-11,5732,511.22,19,26.91
CUST00136,2025-11-11,5912,365.8,2,182.9
CUST00136,2025-11-11,5411,1568.57,26,60.33
CUST00136,2025-11-11,5814,1544.93,11,140.45
CUST00136,2025-11-11,5732,1217.71,13,93.67
